p_sigma,p_mu,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.006,0.00545559478116852,0.5,"(7, 7)",center data,13,3,50000,2035,0.0407,0.01356666667,heterogeneous-defect
0.006,0.00545559478116852,0.75,"(7, 7)",center data,13,3,50000,4134,0.08268,0.02756,heterogeneous-defect
0.006,0.0069519279617756,0.0,"(7, 7)",center data,13,3,50000,3731,0.07462,0.02487333333,heterogeneous-defect
0.006,0.0069519279617756,0.05,"(7, 7)",center data,13,3,50000,3781,0.07562,0.02520666667,heterogeneous-defect
0.006,0.0069519279617756,0.25,"(7, 7)",center data,13,3,50000,4022,0.08044,0.02681333333,heterogeneous-defect
0.006,0.0069519279617756,0.5,"(7, 7)",center data,13,3,50000,3501,0.07002,0.02334,heterogeneous-defect
0.006,0.0069519279617756,0.75,"(7, 7)",center data,13,3,50000,4537,0.09074,0.03024666667,heterogeneous-defect
0.006,0.00885866790410082,0.0,"(7, 7)",center data,13,3,50000,6594,0.13188,0.04396,heterogeneous-defect
0.006,0.00885866790410082,0.05,"(7, 7)",center data,13,3,50000,6527,0.13054,0.04351333333,heterogeneous-defect
0.006,0.00885866790410082,0.25,"(7, 7)",center data,13,3,50000,8708,0.17416,0.05805333333,heterogeneous-defect
0.006,0.00885866790410082,0.5,"(7, 7)",center data,13,3,50000,7586,0.15172,0.05057333333,heterogeneous-defect
0.006,0.00885866790410082,0.75,"(7, 7)",center data,13,3,50000,7001,0.14002,0.04667333333,heterogeneous-defect
0.006,0.0112883789168469,0.0,"(7, 7)",center data,13,3,50000,11762,0.23524,0.07841333333,heterogeneous-defect
0.006,0.0112883789168469,0.05,"(7, 7)",center data,13,3,50000,13142,0.26284,0.08761333333,heterogeneous-defect
0.006,0.0112883789168469,0.25,"(7, 7)",center data,13,3,50000,14275,0.2855,0.09516666667,heterogeneous-defect
0.006,0.0112883789168469,0.5,"(7, 7)",center data,13,3,50000,12694,0.25388,0.08462666667,heterogeneous-defect
0.006,0.0112883789168469,0.75,"(7, 7)",center data,13,3,50000,12594,0.25188,0.08396,heterogeneous-defect
0.006,0.0143844988828766,0.0,"(7, 7)",center data,13,3,50000,18305,0.3661,0.1220333333,heterogeneous-defect
0.006,0.0143844988828766,0.05,"(7, 7)",center data,13,3,50000,17017,0.34034,0.1134466667,heterogeneous-defect
0.006,0.0143844988828766,0.25,"(7, 7)",center data,13,3,50000,18938,0.37876,0.1262533333,heterogeneous-defect
0.006,0.0143844988828766,0.5,"(7, 7)",center data,13,3,50000,18566,0.37132,0.1237733333,heterogeneous-defect
0.006,0.0143844988828766,0.75,"(7, 7)",center data,13,3,50000,19298,0.38596,0.1286533333,heterogeneous-defect
0.006,0.0183298071083244,0.0,"(7, 7)",center data,13,3,50000,23054,0.46108,0.1536933333,heterogeneous-defect
0.006,0.0183298071083244,0.05,"(7, 7)",center data,13,3,50000,23927,0.47854,0.1595133333,heterogeneous-defect
0.006,0.0183298071083244,0.25,"(7, 7)",center data,13,3,50000,23813,0.47626,0.1587533333,heterogeneous-defect
0.006,0.0183298071083244,0.5,"(7, 7)",center data,13,3,50000,23699,0.47398,0.1579933333,heterogeneous-defect
0.006,0.0183298071083244,0.75,"(7, 7)",center data,13,3,50000,23915,0.4783,0.1594333333,heterogeneous-defect
0.006,0.0233572146909012,0.0,"(7, 7)",center data,13,3,50000,24782,0.49564,0.1652133333,heterogeneous-defect
0.006,0.0233572146909012,0.05,"(7, 7)",center data,13,3,50000,24836,0.49672,0.1655733333,heterogeneous-defect
0.006,0.0233572146909012,0.25,"(7, 7)",center data,13,3,50000,24724,0.49448,0.1648266667,heterogeneous-defect
0.006,0.0233572146909012,0.5,"(7, 7)",center data,13,3,50000,24980,0.4996,0.1665333333,heterogeneous-defect
0.006,0.0233572146909012,0.75,"(7, 7)",center data,13,3,50000,24757,0.49514,0.1650466667,heterogeneous-defect
0.006,0.0297635144163132,0.0,"(7, 7)",center data,13,3,50000,24833,0.49666,0.1655533333,heterogeneous-defect
0.006,0.0297635144163132,0.05,"(7, 7)",center data,13,3,50000,25126,0.50252,0.1675066667,heterogeneous-defect
0.006,0.0297635144163132,0.25,"(7, 7)",center data,13,3,50000,24977,0.49954,0.1665133333,heterogeneous-defect
