p_sigma,p_mu,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.009,0.0069519279617756,5,3,50000,8415,0.1683,0.0561,heterogeneous
0.011,0.0069519279617756,5,3,50000,11352,0.22704,0.07568,heterogeneous
0.015,0.0069519279617756,5,3,50000,13508,0.27016,0.09005333333,heterogeneous
0.0,0.00885866790410082,5,3,50000,7760,0.1552,0.05173333333,heterogeneous
0.009,0.00885866790410082,5,3,50000,9736,0.19472,0.06490666667,heterogeneous
0.006,0.00885866790410082,5,3,50000,8522,0.17044,0.05681333333,heterogeneous
0.011,0.00885866790410082,5,3,50000,11056,0.22112,0.07370666667,heterogeneous
0.015,0.00885866790410082,5,3,50000,16403,0.32806,0.1093533333,heterogeneous
0.0,0.0112883789168469,5,3,50000,11508,0.23016,0.07672,heterogeneous
0.009,0.0112883789168469,5,3,50000,13780,0.2756,0.09186666667,heterogeneous
0.006,0.0112883789168469,5,3,50000,10234,0.20468,0.06822666667,heterogeneous
0.011,0.0112883789168469,5,3,50000,14156,0.28312,0.09437333333,heterogeneous
0.015,0.0112883789168469,5,3,50000,16213,0.32426,0.1080866667,heterogeneous
0.0,0.0143844988828766,5,3,50000,15624,0.31248,0.10416,heterogeneous
0.006,0.0143844988828766,5,3,50000,15441,0.30882,0.10294,heterogeneous
0.009,0.0143844988828766,5,3,50000,14180,0.2836,0.09453333333,heterogeneous
0.011,0.0143844988828766,5,3,50000,18226,0.36452,0.1215066667,heterogeneous
0.015,0.0143844988828766,5,3,50000,18681,0.37362,0.12454,heterogeneous
0.0,0.0183298071083244,5,3,50000,19625,0.3925,0.1308333333,heterogeneous
0.006,0.0183298071083244,5,3,50000,19975,0.3995,0.1331666667,heterogeneous
0.009,0.0183298071083244,5,3,50000,20853,0.41706,0.13902,heterogeneous
0.011,0.0183298071083244,5,3,50000,18683,0.37366,0.1245533333,heterogeneous
0.015,0.0183298071083244,5,3,50000,18827,0.37654,0.1255133333,heterogeneous
0.0,0.0233572146909012,5,3,50000,22781,0.45562,0.1518733333,heterogeneous
0.006,0.0233572146909012,5,3,50000,21306,0.42612,0.14204,heterogeneous
0.009,0.0233572146909012,5,3,50000,23120,0.4624,0.1541333333,heterogeneous
0.011,0.0233572146909012,5,3,50000,22827,0.45654,0.15218,heterogeneous
0.015,0.0233572146909012,5,3,50000,23524,0.47048,0.1568266667,heterogeneous
0.0,0.0297635144163132,5,3,50000,24193,0.48386,0.1612866667,heterogeneous
0.006,0.0297635144163132,5,3,50000,24442,0.48884,0.1629466667,heterogeneous
0.011,0.0297635144163132,5,3,50000,24073,0.48146,0.1604866667,heterogeneous
0.009,0.0297635144163132,5,3,50000,24365,0.4873,0.1624333333,heterogeneous
0.015,0.0297635144163132,5,3,50000,23567,0.47134,0.1571133333,heterogeneous
0.0,0.0379269019073225,5,3,50000,24583,0.49166,0.1638866667,heterogeneous
0.006,0.0379269019073225,5,3,50000,24959,0.49918,0.1663933333,heterogeneous
0.009,0.0379269019073225,5,3,50000,24896,0.49792,0.1659733333,heterogeneous
0.011,0.0379269019073225,5,3,50000,24340,0.4868,0.1622666667,heterogeneous
0.015,0.0379269019073225,5,3,50000,24644,0.49288,0.1642933333,heterogeneous
0.0,0.0483293023857175,5,3,50000,24743,0.49486,0.1649533333,heterogeneous
0.006,0.0483293023857175,5,3,50000,25137,0.50274,0.16758,heterogeneous
0.009,0.0483293023857175,5,3,50000,24916,0.49832,0.1661066667,heterogeneous
0.011,0.0483293023857175,5,3,50000,25020,0.5004,0.1668,heterogeneous
0.015,0.0483293023857175,5,3,50000,24998,0.49996,0.1666533333,heterogeneous
0.0,0.0615848211066026,5,3,50000,25238,0.50476,0.1682533333,heterogeneous
0.006,0.0615848211066026,5,3,50000,25091,0.50182,0.1672733333,heterogeneous
0.009,0.0615848211066026,5,3,50000,24918,0.49836,0.16612,heterogeneous
0.011,0.0615848211066026,5,3,50000,25224,0.50448,0.16816,heterogeneous
0.015,0.0615848211066026,5,3,50000,24981,0.49962,0.16654,heterogeneous
0.0,0.0784759970351461,5,3,50000,24914,0.49828,0.1660933333,heterogeneous
0.006,0.0784759970351461,5,3,50000,25134,0.50268,0.16756,heterogeneous
0.009,0.0784759970351461,5,3,50000,25167,0.50334,0.16778,heterogeneous
0.011,0.0784759970351461,5,3,50000,24885,0.4977,0.1659,heterogeneous
0.015,0.0784759970351461,5,3,50000,24972,0.49944,0.16648,heterogeneous
0.0,0.1,5,3,50000,24998,0.49996,0.1666533333,heterogeneous
0.006,0.1,5,3,50000,25146,0.50292,0.16764,heterogeneous
0.009,0.1,5,3,50000,24914,0.49828,0.1660933333,heterogeneous
0.011,0.1,5,3,50000,24806,0.49612,0.1653733333,heterogeneous
0.015,0.1,5,3,50000,25003,0.50006,0.1666866667,heterogeneous
0.0,0.001,7,3,50000,8,0.00016,5.333333333e-05,heterogeneous
0.006,0.00162377673918872,7,3,50000,1566,0.03132,0.01044,heterogeneous
0.015,0.00127427498570313,7,3,50000,12092,0.24184,0.08061333333,heterogeneous
0.011,0.001,7,3,50000,4705,0.0941,0.03136666667,heterogeneous
0.006,0.001,7,3,50000,1514,0.03028,0.01009333333,heterogeneous
0.0,0.00127427498570313,7,3,50000,30,0.0006,0.0002,heterogeneous
0.015,0.001,7,3,50000,7431,0.14862,0.04954,heterogeneous
0.009,0.00127427498570313,7,3,50000,4214,0.08428,0.02809333333,heterogeneous
0.006,0.00127427498570313,7,3,50000,1740,0.0348,0.0116,heterogeneous
0.009,0.001,7,3,50000,3933,0.07866,0.02622,heterogeneous
0.011,0.00127427498570313,7,3,50000,7209,0.14418,0.04806,heterogeneous
0.0,0.00162377673918872,7,3,50000,58,0.00116,0.0003866666667,heterogeneous
0.009,0.00162377673918872,7,3,50000,3609,0.07218,0.02406,heterogeneous
0.011,0.00162377673918872,7,3,50000,10283,0.20566,0.06855333333,heterogeneous
0.015,0.00162377673918872,7,3,50000,10665,0.2133,0.0711,heterogeneous
0.0,0.00206913808111479,7,3,50000,108,0.00216,0.00072,heterogeneous
0.006,0.00206913808111479,7,3,50000,1277,0.02554,0.008513333333,heterogeneous
0.009,0.00206913808111479,7,3,50000,4777,0.09554,0.03184666667,heterogeneous
0.011,0.00206913808111479,7,3,50000,8271,0.16542,0.05514,heterogeneous
0.0,0.00263665089873036,7,3,50000,256,0.00512,0.001706666667,heterogeneous
0.015,0.00206913808111479,7,3,50000,10738,0.21476,0.07158666667,heterogeneous
0.006,0.00263665089873036,7,3,50000,2496,0.04992,0.01664,heterogeneous
0.009,0.00263665089873036,7,3,50000,5102,0.10204,0.03401333333,heterogeneous
0.011,0.00263665089873036,7,3,50000,6320,0.1264,0.04213333333,heterogeneous
0.015,0.00263665089873036,7,3,50000,11385,0.2277,0.0759,heterogeneous
0.0,0.00335981828628378,7,3,50000,486,0.00972,0.00324,heterogeneous
0.006,0.00335981828628378,7,3,50000,2700,0.054,0.018,heterogeneous
0.009,0.00335981828628378,7,3,50000,3391,0.06782,0.02260666667,heterogeneous
0.011,0.00335981828628378,7,3,50000,7153,0.14306,0.04768666667,heterogeneous
