p,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.0297635144163132,0.05,"(7, 7)",center data,13,3,50000,25049,0.50098,0.1669933333,homogeneous
0.0297635144163132,0.25,"(7, 7)",center data,13,3,50000,25033,0.50066,0.1668866667,homogeneous
0.0297635144163132,0.5,"(7, 7)",center data,13,3,50000,24712,0.49424,0.1647466667,homogeneous
0.0297635144163132,0.75,"(7, 7)",center data,13,3,50000,24915,0.4983,0.1661,homogeneous
0.0379269019073225,0.0,"(7, 7)",center data,13,3,50000,25147,0.50294,0.1676466667,homogeneous
0.0379269019073225,0.05,"(7, 7)",center data,13,3,50000,24881,0.49762,0.1658733333,homogeneous
0.0379269019073225,0.25,"(7, 7)",center data,13,3,50000,25088,0.50176,0.1672533333,homogeneous
0.0379269019073225,0.5,"(7, 7)",center data,13,3,50000,25097,0.50194,0.1673133333,homogeneous
0.0379269019073225,0.75,"(7, 7)",center data,13,3,50000,24921,0.49842,0.16614,homogeneous
0.0483293023857175,0.0,"(7, 7)",center data,13,3,50000,24966,0.49932,0.16644,homogeneous
0.0483293023857175,0.05,"(7, 7)",center data,13,3,50000,25080,0.5016,0.1672,homogeneous
0.0483293023857175,0.25,"(7, 7)",center data,13,3,50000,25012,0.50024,0.1667466667,homogeneous
0.0483293023857175,0.5,"(7, 7)",center data,13,3,50000,25016,0.50032,0.1667733333,homogeneous
0.0483293023857175,0.75,"(7, 7)",center data,13,3,50000,25028,0.50056,0.1668533333,homogeneous
0.0615848211066026,0.0,"(7, 7)",center data,13,3,50000,24857,0.49714,0.1657133333,homogeneous
0.0615848211066026,0.05,"(7, 7)",center data,13,3,50000,25063,0.50126,0.1670866667,homogeneous
0.0615848211066026,0.25,"(7, 7)",center data,13,3,50000,24896,0.49792,0.1659733333,homogeneous
0.0615848211066026,0.5,"(7, 7)",center data,13,3,50000,24875,0.4975,0.1658333333,homogeneous
